name,sex,sign,content
柒柒似酒,女,青鲤来时遥闻春溪声声碎,剪的很好[热词系列_你币有了]
32729548509_bili,保密,,谢谢神仙up[大哭][大哭][大哭][大哭]
灯笼不装电灯泡,保密,,鬼怪真的很温暖啊，而且感觉随便截图都是壁纸[热词系列_AWSL]
Yu入坑,保密,,手机铃声响了
冰岛极光karry,女,“你能记住的，就是你的独家记忆。”,首页通知书
哪里有一百个梅尔,男,当一个人有一样专注的事情 那能让他闪闪发光,啊啊啊啊啊啊啊啊啊啊鬼怪！！！！
这月亮好美,保密,一条佛系的鱼,啊啊啊啊，神曲走起
予以凉墨,保密,彼方尚有荣光在,鬼怪真的是心头好啊
海葵啊,女,,我太爱了
JackJHMSG,保密,全世界和平最甜,2020了我依旧在坑底躺平，且愿意永远在坑底
va七里,女,讲故事要求的是点到为止，切不可强行续命,我永远喜欢金高银
Y红樱桃,保密,,阿婆主真的好用心，剪得超级无比棒！！！
欢喜好喜欢-,保密,,调色好好看啊！
早早睡觉的阿薇薇,保密,,我们少主真棒👍
肖兔兔的炭烤兔爪,保密,喜欢一个人不是卑微的事情，我的爱意是光明坦荡的，还有你一定会长命百岁。,想重刷鬼怪了，冬天里看特别美好
肖兔兔的炭烤兔爪,保密,喜欢一个人不是卑微的事情，我的爱意是光明坦荡的，还有你一定会长命百岁。,超喜欢鬼怪～
涛柒涛柒,保密,,看了up的这个作品才去刷的剧，棒！
陈么么凯,女,只有你想见我的时候，我们的相遇才有意义。,秋冬必重温！
人间宝藏韩女士,保密,,太赞了👍
Wendy_毛毛,女,,每次看都有新的感动[爱心][爱心][爱心]
_LIN仔呀,女,吃零食高手(*•̀ᴗ•́*)و ̑̑,啊！这支剪的好好啊！配乐、节奏、镜头，水准超越b站好多同名的鬼怪剪辑了
浓糖七,保密,刚刚,啊啊啊啊啊啊啊啊最爱的
对我欲求不满的小肥皂,保密,,调色太好看了！！！！吹爆！！！！
小周-Jiujie,保密,做 个 有 意 思 的 人,在微博看过一遍 打开b站 首页通知书 那就再来一遍！剪得很好啊！！！
枕枕枕上,保密,,2020了，还是有这么多人对鬼怪念念不忘，我就放心了$这部剧里很多细节做得太好了，运镜，台词，演技，ost，剧本，它远远比一些人以为的爱情剧要优秀。我仍然记得那一句“因为你前世拯救了国家”，仍然记得给了面包的小男孩仍然选择了他认为正确的答案，鬼怪是一部关于神的故事，讲的却是最温暖的人性。
心雨丫,女,,[喜欢][喜欢][喜欢][喜欢][喜欢]
巧克力味兔酱,保密,,每年初雪的时候必看，我的小新娘[星星眼]
我叫染色剂呀啾x,保密,这个人帅死了，啥都没留下( ｣0`)｣梦想是成为一体化的阿婆主！,好美啊！
小瓶子233,女,忠贞的人会得到忠贞，勇敢的人会用勇敢结束。,你币有了
云朵上的笨蛋瓜子,女,,想求个up主鬼怪资源呜呜呜这么清晰我都找不到
Rainie猫猫和cos,保密,一个努力学会各种技能的小法师,每当我呼唤你，你就会出现
三一名十五,女,挺好,先点个赞$再投个币$最后再收藏
l一直在,保密,,有这个素材吗，想拿来做壁纸，这剧真的把爱情片拍出新的创意[打call][打call][打call]
张先生的苦咖啡牛奶-,女,浮生四重恩，勿忘三途苦,鬼知道我已经看了多少遍了！真的爱死鬼怪夫妇了！[热词系列_吹爆]
钱包日渐消瘦,女,,我就是这次疫情太闲了去补的鬼怪，少主你也是吗？
山上烟,保密,青山不改，绿水长流,2020还在坑底
cc苏羽,保密,,这个UP剪得有点东西呀～
思fighting,女,hiahiahia,阿加西你们在一起吧😭
搬砖班学姐,女,花花花花花花花,up歌词排版和调色真的好好啊
赤根葵,保密,,剪🉐太棒了！！
小垚超凶,保密,,冬天刷这部剧真的很有感觉
我的西皮绝对szd,女,2020继续冲鸭,本鬼怪废人来啦！！已三连！！字幕排版超棒！！
晓棠同学,女,,太喜欢鬼怪了！孔刘大叔！
邮差传来彩虹,女, 不能被这个新时代淘汰才行。,等我在大学追！！！
dramamixture,女, what？,还在坑底呢！
